Process_ID,Interval,Layer,Sv_mean,NASC,Height_mean,Depth_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
187,1823,1,-61.380232,154.914372,4.938818,12.442589,10.000000,15.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000085015865,4.938818,12.442589,738.904755,10.000000,12.071910,2.377414,0.982249,27.197392,0.036768
187,1823,2,-63.943675,89.153376,5.128773,17.476384,15.000000,20.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000045066653,5.128773,17.476384,738.904755,10.000000,17.223774,2.416624,0.937322,29.697497,0.033673
187,1823,3,-65.186028,64.492934,4.938818,22.510180,20.000000,25.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000042004877,4.938818,22.510180,738.904755,10.000000,23.010443,2.251824,0.887574,21.753954,0.045969
187,1823,4,-64.510892,75.340017,4.938818,27.448999,25.000000,30.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000042490620,4.938818,27.448999,738.904755,10.000000,27.603514,2.369713,0.857988,25.878176,0.038643
187,1823,5,-65.400622,63.744558,5.128773,32.482794,30.000000,35.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000036386551,5.128773,32.482794,738.904755,10.000000,32.489212,2.413623,0.849003,25.765805,0.038811
187,1823,6,-65.515405,59.782539,4.938818,37.516590,35.000000,40.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000032394512,4.938818,37.516590,738.904755,10.000000,37.604127,1.911996,0.831361,27.596011,0.036237
187,1823,7,-64.785453,70.724449,4.938818,42.455409,40.000000,45.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000045995641,4.938818,42.455409,738.904755,10.000000,42.611971,2.201952,0.908284,22.056654,0.045338
187,1823,8,-62.336069,129.091732,5.128773,47.489204,45.000000,50.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000061703119,5.128773,47.489204,738.904755,10.000000,47.606102,1.917903,0.965812,31.550623,0.031695
187,1823,9,-63.328343,98.919199,4.938818,52.523000,50.000000,55.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000042307349,4.938818,52.523000,738.904755,10.000000,52.624402,2.043771,0.964497,35.152811,0.028447
187,1823,10,-64.415444,77.014142,4.938818,57.461819,55.000000,60.000000,5,17,182251.259693,20170523, 14:59:15.7760,38.33510833,-123.89459142,-999.000000,1,0,0.00000038900713,4.938818,57.461819,738.904755,10.000000,57.392831,2.115749,0.940828,29.825136,0.033529
