Process_ID,Interval,Layer,Sv_mean,NASC,Height_mean,Depth_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
205,1,1,-56.093828,523.497589,4.940895,12.448152,10.000000,15.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000196972622,4.940895,12.448152,1385.995835,10.000000,12.609754,1.857318,1.000000,12.081249,0.082773
205,1,2,-57.435535,399.148387,5.130929,17.484064,15.000000,20.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000162892405,5.130929,17.484064,1385.995835,10.000000,17.677464,2.280465,1.000000,11.357952,0.088044
205,1,3,-57.781069,354.969079,4.940895,22.519976,20.000000,25.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000185316907,4.940895,22.519976,1385.995835,10.000000,22.673685,2.385531,0.980769,8.885754,0.112540
205,1,4,-58.590265,294.625908,4.940895,27.460871,25.000000,30.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000120940234,4.940895,27.460871,1385.995835,10.000000,27.100036,1.910501,1.000000,11.249567,0.088892
205,1,5,-63.594389,96.660485,5.130929,32.496783,30.000000,35.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000046127577,5.130929,32.496783,1385.995835,10.000000,32.069201,1.906160,0.962963,9.757093,0.102490
205,1,6,-67.001687,42.474545,4.940895,37.532696,35.000000,40.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000023716414,4.940895,37.532696,1385.995835,10.000000,37.531567,2.459142,0.855769,8.233593,0.121454
205,1,7,-64.902035,68.880127,4.940895,42.473591,40.000000,45.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000046730220,4.940895,42.473591,1385.995835,10.000000,43.162857,2.328158,0.923077,6.443284,0.155200
205,1,8,-63.929992,89.472323,5.130929,47.509503,45.000000,50.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000037749144,5.130929,47.509503,1385.995835,10.000000,47.049254,2.445261,0.981481,11.019288,0.090750
205,1,9,-67.998490,33.763577,4.940895,52.545415,50.000000,55.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000013073136,4.940895,52.545415,1385.995835,10.000000,52.353884,2.519299,0.894231,11.810562,0.084670
205,1,10,-66.540385,47.234455,4.940895,57.486310,55.000000,60.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000021537056,4.940895,57.486310,1385.995835,10.000000,57.348777,2.502901,0.913462,10.220077,0.097847
205,1,11,-69.468476,24.994258,5.130929,62.522222,60.000000,65.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000011921112,5.130929,62.522222,1385.995835,10.000000,62.665656,2.556922,0.805556,9.762636,0.102431
205,1,12,-74.556023,7.459249,4.940895,67.558134,65.000000,70.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000005649430,4.940895,67.558134,1385.995835,10.000000,67.422841,2.562488,0.394231,5.526068,0.180961
205,1,13,-77.663257,3.647302,4.940895,72.499029,70.000000,75.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000004742107,4.940895,72.499029,1385.995835,10.000000,71.409272,1.473386,0.201923,2.300034,0.434776
205,1,14,-83.513998,0.948195,4.940895,77.439924,75.000000,80.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000001525147,4.940895,77.439924,1385.995835,10.000000,77.471230,1.773804,0.086538,1.565983,0.638576
205,1,15,-84.015233,0.877333,5.130929,82.475836,80.000000,85.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000001370756,5.130929,82.475836,1385.995835,10.000000,83.385220,3.055658,0.083333,1.599863,0.625054
205,1,16,-82.718805,1.138720,4.940895,87.511748,85.000000,90.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000002182004,4.940895,87.511748,1385.995835,10.000000,88.843000,1.230236,0.076923,1.129858,0.885067
205,1,17,-80.584718,1.861340,4.940895,92.452643,90.000000,95.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000002918026,4.940895,92.452643,1385.995835,10.000000,91.849685,0.678217,0.105769,1.641644,0.609146
205,1,18,-81.144530,1.699162,5.130929,97.488555,95.000000,100.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000002413198,5.130929,97.488555,1385.995835,10.000000,98.050442,1.826951,0.101852,1.887522,0.529795
205,1,19,-81.971457,1.352545,4.940895,102.524467,100.000000,105.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000002566586,4.940895,102.524467,1385.995835,10.000000,100.944075,0.074273,0.057692,0.942493,1.061016
205,1,20,-76.859782,4.388531,4.940895,107.465362,105.000000,110.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000003845681,4.940895,107.465362,1385.995835,10.000000,106.914839,1.625088,0.269231,4.399752,0.227286
205,1,21,-84.750747,0.740650,5.130929,112.501274,110.000000,115.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000001235173,5.130929,112.501274,1385.995835,10.000000,111.682864,0.954700,0.074074,1.417764,0.705336
205,1,22,-84.728557,0.716872,4.940895,117.537186,115.000000,120.000000,2,5,42.786181,20180618, 20:20:21.3250,38.37578256,-123.74014103,-999.000000,1,0,0.00000001772565,4.940895,117.537186,1385.995835,10.000000,119.470638,0.034501,0.038462,0.694404,1.440085
