Process_ID,Interval,Layer,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Layer_depth_min,Layer_depth_max,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Exclude_below_line_depth_mean,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Standard_deviation,Skewness,Kurtosis,ABC,ABC_noise,Area_Backscatter_Strength,Thickness_mean,Range_mean,Samples_In_Domain,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
45,1257,13,-69.682410,22.930441,-61.075989,-74.934331,-961.535274,0.000000,4.944946,72.491347,338,70.000000,75.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000013448920,2.161796,5.463992,0.00000053201096,0.00000000000000,-62.7407941817,4.944946,75.791347,338,71.914647,1.662837,0.707101,25.130597,0.039792
45,1257,14,-75.665092,5.782880,-64.348740,-74.978743,-964.124826,0.000000,4.944946,77.436293,338,75.000000,80.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000005304746,3.285785,14.504777,0.00000013416905,0.00000000000000,-68.7234764866,4.944946,80.736293,338,77.332881,0.971125,0.334320,13.361408,0.074842
45,1257,15,-77.239450,4.179254,-68.854039,-74.993314,-963.569989,0.000000,5.135137,82.476334,351,80.000000,85.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000003071074,1.578779,1.793238,0.00000009696321,0.00000000000000,-70.1339302189,5.135137,85.776334,351,82.589150,2.376468,0.327635,18.351183,0.054492
45,1257,16,-76.477418,4.796358,-66.884070,-74.992514,-962.567971,0.000000,4.944946,87.516376,338,85.000000,90.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000003638696,1.912054,4.058951,0.00000011128068,0.00000000000000,-69.5358022887,4.944946,90.816376,338,87.616123,2.214279,0.357988,17.823660,0.056105
45,1257,17,-74.691664,7.235808,-66.223666,-74.989064,-960.893776,0.000000,4.944946,92.461322,338,90.000000,95.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000004604125,1.570477,2.595254,0.00000016787854,0.00000000000000,-67.7500481107,4.944946,95.761322,338,92.274846,1.865258,0.464497,22.685238,0.044082
45,1257,18,-75.052520,6.914995,-65.614821,-74.998436,-960.844867,0.000000,5.135137,97.501364,351,95.000000,100.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000004709311,1.881996,4.092360,0.00000016043533,0.00000000000000,-67.9469999160,5.135137,100.801364,351,97.094578,2.153484,0.415954,20.442541,0.048918
45,1257,19,-74.474731,7.606421,-65.993138,-74.981274,-960.144812,0.000000,4.944946,102.541405,338,100.000000,105.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000005339188,1.768679,3.004864,0.00000017647716,0.00000000000000,-67.5331149430,4.944946,105.841405,338,102.855943,1.282694,0.428994,19.892614,0.050270
45,1257,20,-78.053718,3.336427,-67.111037,-74.992930,-961.508387,0.000000,4.944946,107.486352,338,105.000000,110.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000002824505,2.091246,5.749494,0.00000007740871,0.00000000000000,-71.1121017090,4.944946,110.786352,338,106.996030,1.731843,0.284024,15.140155,0.066050
45,1257,21,-71.725989,14.874587,-55.366826,-74.997781,-960.240256,0.000000,5.135137,112.526393,351,110.000000,115.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000024617164,7.228052,65.460110,0.00000034510646,0.00000000000000,-64.6204690525,5.135137,115.826393,351,113.367531,0.657805,0.333333,4.642547,0.215399
45,1257,22,-77.910516,3.448274,-66.730062,-74.966104,-961.005760,0.000000,4.944946,117.566435,338,115.000000,120.000000,125667.875837,20140507, 15:09:07.2740,36.55683948,-122.02009611,732.571682,-999.000000,1,0,1,10.000000,1,0.00000003287941,2.491502,7.306052,0.00000008000368,0.00000000000000,-70.9689003271,4.944946,120.866435,338,117.322998,1.520111,0.254438,12.560941,0.079612
