Process_ID,Interval,Layer,Sv_mean,NASC,Height_mean,Depth_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
167,1664,1,-61.700044,143.927940,4.939212,12.444056,10.000000,15.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000081059638,4.939212,12.444056,740.865928,10.000000,12.833566,2.348557,0.961538,6.125258,0.163258
167,1664,2,-60.544406,195.029037,5.129182,17.478253,15.000000,20.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000114383211,5.129182,17.478253,740.865928,10.000000,16.814365,2.109749,0.987654,5.783937,0.172893
167,1664,3,-62.346905,124.010647,4.939212,22.512450,20.000000,25.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000049438930,4.939212,22.512450,740.865928,10.000000,22.673771,2.112693,0.987179,8.659841,0.115476
167,1664,4,-64.102090,82.782879,4.939212,27.451662,25.000000,30.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000046186119,4.939212,27.451662,740.865928,10.000000,26.984295,2.271416,0.961538,6.193022,0.161472
167,1664,5,-65.111638,68.135916,5.129182,32.485858,30.000000,35.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000032219116,5.129182,32.485858,740.865928,10.000000,32.369951,2.297764,0.913580,7.400192,0.135132
167,1664,6,-66.313946,49.745622,4.939212,37.520055,35.000000,40.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000024423163,4.939212,37.520055,740.865928,10.000000,37.638697,1.550003,0.846154,7.129268,0.140267
167,1664,7,-65.801835,55.971373,4.939212,42.459267,40.000000,45.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000032155262,4.939212,42.459267,740.865928,10.000000,42.361926,2.424215,0.782051,5.983019,0.167140
167,1664,8,-72.479441,12.490958,5.129182,47.493463,45.000000,50.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000008117195,5.129182,47.493463,740.865928,10.000000,46.474004,1.508155,0.592593,5.064234,0.197463
167,1664,9,-71.190581,16.184205,4.939212,52.527660,50.000000,55.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000010564527,4.939212,52.527660,740.865928,10.000000,52.749479,1.761807,0.576923,5.098290,0.196144
167,1664,10,-73.306720,9.942086,4.939212,57.466872,55.000000,60.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000008527407,4.939212,57.466872,740.865928,10.000000,57.558242,2.488266,0.423077,3.452908,0.289611
167,1664,11,-75.653643,6.014169,5.129182,62.501069,60.000000,65.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004707501,5.129182,62.501069,740.865928,10.000000,63.047008,2.496677,0.395062,3.888268,0.257184
167,1664,12,-70.477974,19.070059,4.939212,67.535265,65.000000,70.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000009622125,4.939212,67.535265,740.865928,10.000000,67.569734,1.725110,0.756410,6.927287,0.144357
167,1664,13,-69.245869,25.325764,4.939212,72.474477,70.000000,75.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000015533026,4.939212,72.474477,740.865928,10.000000,73.421171,1.987155,0.730769,5.522802,0.181068
167,1664,14,-70.624904,19.144742,5.129182,77.508674,75.000000,80.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000013416690,5.129182,77.508674,740.865928,10.000000,76.287481,1.742815,0.555556,4.565089,0.219054
167,1664,15,-74.751197,7.129019,4.939212,82.542871,80.000000,85.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004411206,4.939212,82.542871,740.865928,10.000000,82.282256,1.292467,0.487179,5.461773,0.183091
167,1664,16,-74.811533,7.030662,4.939212,87.482082,85.000000,90.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000005321747,4.939212,87.482082,740.865928,10.000000,87.735262,2.121464,0.397436,4.158322,0.240482
167,1664,17,-75.611369,6.072997,5.129182,92.516279,90.000000,95.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003858833,5.129182,92.516279,740.865928,10.000000,92.312967,2.386206,0.432099,5.218054,0.191642
167,1664,18,-71.736936,14.271048,4.939212,97.550476,95.000000,100.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000007844008,4.939212,97.550476,740.865928,10.000000,97.239984,1.796271,0.679487,6.300993,0.158705
167,1664,19,-73.369666,9.799025,4.939212,102.489688,100.000000,105.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000006822800,4.939212,102.489688,740.865928,10.000000,103.048993,1.353838,0.487179,4.675844,0.213865
167,1664,20,-76.912352,4.500956,5.129182,107.523884,105.000000,110.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003936962,5.129182,107.523884,740.865928,10.000000,107.838508,1.656017,0.271605,3.278719,0.304997
167,1664,21,-76.591512,4.666576,4.939212,112.558081,110.000000,115.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003390209,4.939212,112.558081,740.865928,10.000000,112.458452,1.711936,0.371795,4.408303,0.226845
167,1664,22,-75.777010,5.629223,4.939212,117.497293,115.000000,120.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004556492,4.939212,117.497293,740.865928,10.000000,118.080760,1.435789,0.307692,3.769149,0.265312
167,1664,23,-77.746000,3.577251,4.939212,122.436505,120.000000,125.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002877984,4.939212,122.436505,740.865928,10.000000,122.034331,1.530662,0.294872,3.803462,0.262918
167,1664,24,-75.058221,6.897915,5.129182,127.470701,125.000000,130.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004354155,5.129182,127.470701,740.865928,10.000000,127.397625,2.602114,0.481481,5.263680,0.189981
167,1664,25,-75.441686,6.081082,4.939212,132.504898,130.000000,135.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004996396,4.939212,132.504898,740.865928,10.000000,131.571114,2.629453,0.397436,3.685722,0.271317
167,1664,26,-71.814333,14.018973,4.939212,137.444110,135.000000,140.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000008167970,4.939212,137.444110,740.865928,10.000000,137.723190,1.583938,0.589744,5.882894,0.169984
167,1664,27,-71.656109,15.098334,5.129182,142.478306,140.000000,145.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000006029443,5.129182,142.478306,740.865928,10.000000,142.420705,2.408064,0.703704,8.694482,0.115015
167,1664,28,-71.774549,14.147986,4.939212,147.512503,145.000000,150.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000007110716,4.939212,147.512503,740.865928,10.000000,147.604557,1.703974,0.666667,6.956177,0.143757
167,1664,29,-72.313472,12.496899,4.939212,152.451715,150.000000,155.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000006552510,4.939212,152.451715,740.865928,10.000000,152.706802,1.596966,0.628205,6.644673,0.150496
167,1664,30,-75.968290,5.593851,5.129182,157.485912,155.000000,160.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003342796,5.129182,157.485912,740.865928,10.000000,157.303462,2.096150,0.419753,5.649327,0.177012
167,1664,31,-73.807238,8.859836,4.939212,162.520108,160.000000,165.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000005276628,4.939212,162.520108,740.865928,10.000000,162.582820,2.334740,0.500000,5.727893,0.174584
167,1664,32,-72.302615,12.528180,4.939212,167.459320,165.000000,170.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000006471366,4.939212,167.459320,740.865928,10.000000,167.207885,1.804261,0.641026,6.754497,0.148050
167,1664,33,-70.547724,19.488010,5.129182,172.493517,170.000000,175.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000009057090,5.129182,172.493517,740.865928,10.000000,172.369474,1.713107,0.716049,7.533229,0.132745
167,1664,34,-75.828904,5.562360,4.939212,177.527713,175.000000,180.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003523915,4.939212,177.527713,740.865928,10.000000,178.139682,1.757925,0.423077,5.300200,0.188672
167,1664,35,-77.752063,3.572261,4.939212,182.466925,180.000000,185.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002992654,4.939212,182.466925,740.865928,10.000000,181.978858,1.734014,0.294872,3.579190,0.279393
167,1664,36,-77.518290,3.914812,5.129182,187.501122,185.000000,190.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002485593,5.129182,187.501122,740.865928,10.000000,187.249421,2.256872,0.370370,5.223356,0.191448
167,1664,37,-74.024538,8.427440,4.939212,192.535319,190.000000,195.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004094993,4.939212,192.535319,740.865928,10.000000,192.654279,1.718015,0.589744,7.205776,0.138778
167,1664,38,-75.606643,5.854438,4.939212,197.474530,195.000000,200.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003850030,4.939212,197.474530,740.865928,10.000000,197.262616,2.055846,0.397436,5.048812,0.198066
167,1664,39,-76.183071,5.323936,5.129182,202.508727,200.000000,205.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003817191,5.129182,202.508727,740.865928,10.000000,202.486834,3.391000,0.333333,4.419857,0.226252
167,1664,40,-74.997353,6.736187,4.939212,207.542924,205.000000,210.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004343616,4.939212,207.542924,740.865928,10.000000,207.234239,2.121203,0.435897,5.180552,0.193030
167,1664,41,-76.101013,5.224542,4.939212,212.482136,210.000000,215.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002908474,4.939212,212.482136,740.865928,10.000000,212.341109,2.141185,0.461538,6.208865,0.161060
167,1664,42,-77.599373,3.842400,5.129182,217.516332,215.000000,220.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002963017,5.129182,217.516332,740.865928,10.000000,216.806925,2.618088,0.283951,3.975662,0.251530
167,1664,43,-77.199196,4.057233,4.939212,222.550529,220.000000,225.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003446494,4.939212,222.550529,740.865928,10.000000,222.970665,1.457256,0.282051,3.504295,0.285364
167,1664,44,-76.329382,4.956913,4.939212,227.489741,225.000000,230.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003750759,4.939212,227.489741,740.865928,10.000000,227.374349,1.229549,0.346154,4.160391,0.240362
167,1664,45,-76.283257,5.202526,5.129182,232.523937,230.000000,235.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003420107,5.129182,232.523937,740.865928,10.000000,232.802988,2.566705,0.370370,4.986077,0.200558
167,1664,46,-76.492697,4.773971,4.939212,237.558134,235.000000,240.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000003052230,4.939212,237.558134,740.865928,10.000000,237.461647,2.475208,0.423077,5.238104,0.190909
167,1664,47,-72.576879,11.761469,4.939212,242.497346,240.000000,245.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000006881200,4.939212,242.497346,740.865928,10.000000,242.276607,2.443303,0.615385,5.853438,0.170840
167,1664,48,-74.697247,7.218131,4.939212,247.436558,245.000000,250.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000004131815,4.939212,247.436558,740.865928,10.000000,247.273098,1.959941,0.525641,6.008829,0.166422
167,1664,49,-73.947173,8.908870,5.129182,252.470754,250.000000,255.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000005221670,5.129182,252.470754,740.865928,10.000000,252.249560,1.735987,0.493827,5.788529,0.172755
167,1664,50,-78.053527,3.332704,4.939212,257.504951,255.000000,260.000000,0,2,166355.749962,20160506, 15:11:07.7120,36.46648304,-122.39758547,-999.000000,1,0,0.00000002493645,4.939212,257.504951,740.865928,10.000000,257.450657,1.362849,0.320513,4.227829,0.236528
