Process_ID,Interval,Layer,Sv_mean,NASC,Height_mean,Depth_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
195,1727,1,-63.941851,85.907080,4.939946,12.445537,10.000000,15.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000047551213,4.939946,12.445537,735.269246,10.000000,12.262252,2.077857,0.948718,12.453290,0.080300
195,1727,2,-63.051605,109.507519,5.129944,17.480482,15.000000,20.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000059259077,5.129944,17.480482,735.269246,10.000000,17.763064,2.478506,0.975309,12.704208,0.078714
195,1727,3,-63.223194,101.366543,4.939946,22.515427,20.000000,25.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000048148704,4.939946,22.515427,735.269246,10.000000,22.699403,2.221473,0.980769,14.700149,0.068027
195,1727,4,-60.567876,186.821311,4.939946,27.455372,25.000000,30.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000080257800,4.939946,27.455372,735.269246,10.000000,27.568872,1.737248,0.980769,16.185062,0.061785
195,1727,5,-62.690900,118.991095,5.129944,32.490317,30.000000,35.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000046217749,5.129944,32.490317,735.269246,10.000000,32.171082,2.218696,0.962963,17.760837,0.056304
195,1727,6,-65.512539,59.835670,4.939946,37.525262,35.000000,40.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000028723530,4.939946,37.525262,735.269246,10.000000,37.261605,1.488965,0.929487,14.543628,0.068759
195,1727,7,-65.231937,63.829339,4.939946,42.465207,40.000000,45.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000030134962,4.939946,42.465207,735.269246,10.000000,42.369613,2.310592,0.948718,14.790222,0.067612
195,1727,8,-65.330871,64.791394,5.129944,47.500152,45.000000,50.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000034657808,5.129944,47.500152,735.269246,10.000000,47.389672,2.296507,0.938272,12.877270,0.077656
195,1727,9,-67.242787,40.173100,4.939946,52.535097,50.000000,55.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000019069916,4.939946,52.535097,735.269246,10.000000,52.695972,2.041023,0.910256,14.709585,0.067983
195,1727,10,-65.319983,62.548323,4.939946,57.475042,55.000000,60.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000035616213,4.939946,57.475042,735.269246,10.000000,57.813608,1.355479,0.948718,12.046237,0.083013
195,1727,11,-63.373868,101.675803,5.129944,62.509987,60.000000,65.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000040702100,5.129944,62.509987,735.269246,10.000000,62.613720,1.752911,0.987654,17.305491,0.057785
195,1727,12,-64.572668,74.292887,4.939946,67.544932,65.000000,70.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000037961018,4.939946,67.544932,735.269246,10.000000,67.387650,1.744929,0.942308,13.621021,0.073416
195,1727,13,-67.547946,37.447203,4.939946,72.484877,70.000000,75.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000014774981,4.939946,72.484877,735.269246,10.000000,72.163299,2.445978,0.923077,17.422666,0.057396
195,1727,14,-68.442246,31.650442,5.129944,77.519822,75.000000,80.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000015377177,5.129944,77.519822,735.269246,10.000000,77.777041,2.102165,0.814815,14.337008,0.069750
195,1727,15,-70.457690,19.162186,4.939946,82.554767,80.000000,85.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000009571009,4.939946,82.554767,735.269246,10.000000,82.151754,1.821164,0.711538,13.956448,0.071651
195,1727,16,-71.041133,16.753312,4.939946,87.494712,85.000000,90.000000,0,5,172648.785735,20180518, 15:02:10.0560,38.32655398,-123.65780843,-999.000000,1,0,0.00000010674381,4.939946,87.494712,735.269246,10.000000,86.748878,1.223000,0.589744,10.478560,0.095433
